resource_id,network,station,channel,location,phase_time,oneset,polarity,evaluation_mode,evaluation_status,phase_type,azimuth,distance,takeoff_angle,time_residual,time_weight,time_correction
quakeml:nc.anss.org/Arrival/NC/109312114,NP,1581,HNZ,10,2019-06-23T03:53:13.320,impulsive,negative,manual,reviewed,P,8.7,0.4664,71.0,0.33,0.1,0.0
quakeml:nc.anss.org/Arrival/NC/109312119,CE,89781,HNZ,10,2019-06-23T03:53:14.000,impulsive,negative,manual,reviewed,P,13.1,0.5232,68.0,-0.06,0.19,0.0
quakeml:nc.anss.org/Arrival/NC/109312124,CE,79435,HNZ,,2019-06-23T03:53:14.100,impulsive,negative,manual,reviewed,P,130.2,0.5415,67.0,-0.28,0.18,0.0
quakeml:nc.anss.org/Arrival/NC/109312129,BK,JCC,HHZ,00,2019-06-23T03:53:14.610,impulsive,positive,manual,reviewed,P,20.6,0.5812,62.0,-0.25,0.08,-0.24
quakeml:nc.anss.org/Arrival/NC/109312134,PB,B935,EHZ,,2019-06-23T03:53:15.620,impulsive,positive,manual,reviewed,P,69.4,0.5921,61.0,0.25,0.16,0.08
quakeml:nc.anss.org/Arrival/NC/109312139,PB,B934,EHZ,,2019-06-23T03:53:15.620,impulsive,negative,manual,reviewed,P,132.4,0.6341,59.0,0.01,0.16,0.08
quakeml:nc.anss.org/Arrival/NC/109312144,NC,KBS,EHZ,02,2019-06-23T03:53:16.310,emergent,undecidable,manual,reviewed,P,123.2,0.6472,47.0,0.01,0.01,0.11
quakeml:nc.anss.org/Arrival/NC/109312149,NC,KKP,EHZ,,2019-06-23T03:53:16.850,emergent,negative,manual,reviewed,P,101.1,0.6488,46.0,0.11,0.03,0.53
quakeml:nc.anss.org/Arrival/NC/109312154,CE,89464,HNZ,,2019-06-23T03:53:16.380,emergent,undecidable,manual,reviewed,P,11.5,0.6967,45.0,-0.56,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312159,NC,KPP,EHZ,,2019-06-23T03:53:17.890,impulsive,positive,manual,reviewed,P,83.9,0.7202,45.0,0.32,0.04,0.37
quakeml:nc.anss.org/Arrival/NC/109312164,NC,KHMB,HHZ,,2019-06-23T03:53:17.650,impulsive,positive,manual,reviewed,P,35.5,0.7401,45.0,0.16,0.04,0.01
quakeml:nc.anss.org/Arrival/NC/109312169,NC,KIP,EHZ,,2019-06-23T03:53:18.070,impulsive,negative,manual,reviewed,P,126.3,0.7818,45.0,-0.09,0.03,0.09
quakeml:nc.anss.org/Arrival/NC/109312174,NC,KCPB,HHZ,,2019-06-23T03:53:18.160,impulsive,negative,manual,reviewed,P,136.6,0.8051,45.0,-0.15,0.04,-0.09
quakeml:nc.anss.org/Arrival/NC/109312179,NC,KHBB,HHZ,,2019-06-23T03:53:20.000,impulsive,positive,manual,reviewed,P,64.5,0.9103,45.0,0.11,0.0,0.01
quakeml:nc.anss.org/Arrival/NC/109312184,NC,KRP,HHZ,,2019-06-23T03:53:19.620,impulsive,positive,manual,reviewed,P,13.3,0.908,45.0,0.1,0.0,-0.32
quakeml:nc.anss.org/Arrival/NC/109312189,NC,KFP,EHZ,,2019-06-23T03:53:19.870,impulsive,negative,manual,reviewed,P,133.1,0.9243,45.0,-0.04,0.0,-0.16
quakeml:nc.anss.org/Arrival/NC/109312194,NC,KBN,EHZ,,2019-06-23T03:53:20.590,impulsive,positive,manual,reviewed,P,113.9,0.9295,45.0,0.03,0.0,0.41
quakeml:nc.anss.org/Arrival/NC/109312199,CE,79036,HNZ,,2019-06-23T03:53:20.400,emergent,positive,manual,reviewed,P,119.7,0.9337,45.0,0.13,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312204,NC,GTC,EHZ,,2019-06-23T03:53:21.200,impulsive,negative,manual,reviewed,P,146.6,1.045,45.0,-0.15,0.0,-0.42
quakeml:nc.anss.org/Arrival/NC/109312209,BK,MNDO,HHZ,00,2019-06-23T03:53:21.180,impulsive,negative,manual,reviewed,P,155.8,1.049,45.0,-0.65,0.0,0.0
